"PCN Number","Publish Date","PCN Title","Key Characteristics",4M,"Product Categories",Abstract
111576-00,"2012/06/21 22:00:00","Intel(R) Desktop Board DH61AG, Boxed and Bulk, PCN 111576-00, Product Design, BIOS Update and Customize Front Panel USB Header","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111544-00,"2012/06/20 22:00:00","Front Panel Spare FXXFPANEL, PCN 111544-00, Product Design, Changing Front Panel LED Brightness and Size of the Power Button","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111567-00,"2012/06/20 22:00:00","Intel(R) Server System SR1695WBDC, PCN 111567-00, Product Material, Documentation, Label, Change CPU socket protective cover, Updating code stack, Quick Start User's Guide, Attention Document, Resource CD and Adding Korea Certification Mark.","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
111572-00,"2012/06/19 22:00:00","Intel(R) Core¬ i3-380M Processors, PCN 111572-00, Product Discontinuance","Product Discontinuance",,"Mobile Processors","Mobile Processors, Product Discontinuance, Date to implement this change is a non-standard compressed timeline; please see PCN details for further information."
111573-00,"2012/06/19 22:00:00","Intel(R) Core¬ i5-2410M and i5-2415M Processors, PCN 111573-00, Product Discontinuance","Product Discontinuance",,"Mobile Processors","Mobile Processors, Product Discontinuance, Date to implement this change is a non-standard compressed timeline; please see PCN details for further information."
111553-00,"2012/06/19 22:00:00","Intel(R) Core¬ i7-2620M, i7-2720QM, i7-2820QM Processors, Intel(R) Core¬ i7-2920XM Processor Extreme Edition, PCN 111553-00, Product Discontinuance","Product Discontinuance",,"Mobile Processors","Mobile Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111456-01,"2012/06/15 22:00:00","Tray Change from PIMT to TFT for 49.1x56.4mm and 66mm Sq Products; LGA Cover Removal; New 1x4up Tray Pocket Configuration on 66mm Sq TFT Tray; Tray Stack Quantity Change, PCN 111456-01, Transport Media, Reason for Revision: Revised Product List","Transport Media",Material,"Server Processors","Server Processors, Transport Media, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
111565-00,"2012/06/14 22:00:00","Intel(R) Development Kits EBSBCLCPCCDK, EMBAD51HMMCSDK, EMBAN45HMMCMDK, EMBI57QM57RFDK, and EMBTNCTCCBDVK, PCN 111565-00, Product Discontinuance","Product Discontinuance",,"Embedded Processors","Embedded Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111545-00,"2012/06/12 22:00:00","Intel(R) BD3400 and BD3420 Platform Controller Hubs, PCN 111545-00, Product Discontinuance","Product Discontinuance",,"Chipsets - Workstation Server","Chipsets - Workstation Server, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111468-00,"2012/06/12 22:00:00","Intel(R) 6700 and 6702 PXH 64-bit PCI Hub, PCN 111468-00, Product Support, Transitioning from Intel Architecture to Embedded Architecture","Product Support",,"Chipsets - Workstation Server","Chipsets - Workstation Server, Product Support, Product transitioning from Intel Architecture to Embedded Intel Architecture."
111546-00,"2012/06/12 22:00:00","Intel(R) BD3420 and BD3450 Platform Controller Hubs, PCN 111546-00, Product Support, Transitioning from Intel Architecture to Embedded Architecture","Product Support",,"Chipsets - Workstation Server","Chipsets - Workstation Server, Product Support, Product transitioning from Intel Architecture to Embedded Intel Architecture."
111549-01,"2012/06/12 22:00:00","Intel(R) Desktop Board DH61SA, GbE LAN, Boxed and Bulk, PCN 111549-01, Product Design, Add Cap to Improve CPU Power Quality, Reason for Revision: Corrected AA# on MM#918985","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111556-00,"2012/06/12 22:00:00","Intel(R) Chipsets Carrier Tape Change for 34x34mm Tape and Reel Packed Products, PCN 111556-00, Transport Media","Transport Media",Material,"Chipsets - Desktop, Chipsets - Workstation Server, Chipsets - Mobile","Chipsets - Desktop, Chipsets - Mobile, Chipsets - Workstation Server, Transport Media, Intel anticipates no impact to customers, see PCN detail for further information."
111560-00,"2012/06/12 22:00:00","Intel(R) 6700PXH 64-bit PCI Hub, PCN 111560-00, Product Discontinuance","Product Discontinuance",,"Chipsets - Workstation Server","Chipsets - Workstation Server, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111558-00,"2012/06/11 22:00:00","Intel RAID Controller RS25GB080, PCN 111558-00, Order Code, Order Code, ROC Controller 2308 Stepping Change; update to a newer Resource CD","Order Code",,"Intel® Server RAID Controllers","Intel® Server RAID Controllers, Order Code, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
111555-00,"2012/06/11 22:00:00","Intel RAID Controller SASMF8I, PCN 111555-00, Product Discontinuance, Product Discontinuance, Product Discontinuance Announcement","Product Discontinuance",,"Intel® Server RAID Controllers","Intel® Server RAID Controllers, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111431-01,"2012/06/08 22:00:00","Intel RAID Controller SASWT4I, PCN 111431-01, Product Discontinuance, Product Discontinuance, Product Discontinuance Announcement, Reason for Revision: PDA notice needs to be pushed out to align with platform PDA","Product Discontinuance",,"Intel® Server RAID Controllers","Intel® Server RAID Controllers, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111552-00,"2012/06/08 22:00:00","Intel(R) Desktop Board DH61ZE, GbE LAN, VGA, Boxed and Bulk, PCN 111552-00, Product Design, Add Cap to Improve CPU Power Quality","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111389-01,"2012/06/08 22:00:00","Intel(R) Centrino(R) Wireless-N 1000 SKUs: 112BN.HMWG; 112BN.HMWWB; 112BN.HMWGHF, PCN 111389-01, Label, OUI Update, Reason for Revision: Wrong OUI",Label,"Machine, Material","Networking Products","Networking Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
111550-00,"2012/06/08 22:00:00","Intel(R) Desktop Board DH61WW, GbE LAN, VGA, Boxed and Bulk, PCN 111550-00, Product Design, Add Cap to Improve CPU Power Quality","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111551-00,"2012/06/08 22:00:00","Intel(R) Desktop Board DH61CR, GbE LAN, Boxed and Bulk, PCN 111551-00, Product Design, Add Cap to Improve CPU Power Quality","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111548-00,"2012/06/08 22:00:00","Intel(R) Desktop Board DH61BE, GbE LAN, Boxed and Bulk, PCN 111548-00, Product Design, Add Cap to Improve CPU Power Quality","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111540-00,"2012/06/06 22:00:00","Intel Ethernet Server Adapter I340-T4, E1G44HT MM# 904198, E1G44HTBLK MM# 904223  (Bartonville QT Retail), PCN 111540-00, Product Design, Label, EEPROM Update","Product Design","Material, Method","Networking Products","Networking Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111510-00,"2012/06/04 22:00:00","Intel(R) Atom¬ Processors D410 / D425 / D510 / D525, PCN 111510-00, Product Support, Transitioning from Intel Architecture to Embedded Architecture","Product Support",,"Desktop Processors","Desktop Processors, Product Support, Product transitioning from Intel Architecture to Embedded Intel Architecture."
111488-00,"2012/06/04 22:00:00","Boxed Intel(R) Xeon(R) Processors X3450 & X3430, PCN 111488-00, Product Discontinuance","Product Discontinuance",,"Server Processors","Server Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111490-00,"2012/06/04 22:00:00","Intel(R) Xeon(R) Processors L3426 / X3480 / X3470 / X3460 / X3440, PCN 111490-00, Product Discontinuance, for Tray and Boxed","Product Discontinuance",,"Server Processors","Server Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111487-00,"2012/06/04 22:00:00","Intel(R) Xeon(R) Processors X3450 & X3430, PCN 111487-00, Product Support, Transitioning from Intel Architecture to Embedded Architecture","Product Support",,"Server Processors","Server Processors, Product Support, Product transitioning from Intel Architecture to Embedded Intel Architecture."
111536-00,"2012/06/04 22:00:00","Intel(R) Atom¬ Processors N470, N475, N550 and N570, PCN 111536-00, Product Discontinuance","Product Discontinuance",,"Mobile Processors","Mobile Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111531-00,"2012/06/04 22:00:00","Boxed Intel(R) Desktop Board DP67BA, Media, Boxed Intel(R) Desktop Board DP67BG, Boxed Intel(R) Desktop Board DP67DE, Boxed Intel(R) Desktop Board DH61ZE, Boxed Intel(R) Desktop Board DZ68ZV, PCN 111531-00, Product Discontinuance, Documentation","Product Discontinuance",,"Desktop Boards","Desktop Boards, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111489-00,"2012/06/04 22:00:00","Intel(R) Xeon(R) Processors X7560, X7550, X7542, E7540, E7530, E7520, L7555, L7545, X6550, E6540, E6510, PCN 111489-00, Product Discontinuance, for Tray and Boxed","Product Discontinuance",,"Server Processors","Server Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
